UF,Município,co_municipio_ibge,Laboratório,Total de Doses Aplicadas,1ª Dose,2ª Dose,Dose Reforço,2ª Dose Reforço,Dose Adicional,Dose Única
PI,Socorro Do Piauí,221090,Pfizer,4.089,1.381,1.301,1.407,0,0,0
PI,Socorro Do Piauí,221090,Astrazeneca,3.579,1.516,1.493,554,16,0,0
PI,Socorro Do Piauí,221090,Coronavac,1.900,921,974,2,3,0,0
PI,Socorro Do Piauí,221090,Janssen,897,0,0,723,123,0,51
PI,Socorro Do Piauí,221090,-,71,70,1,0,0,0,0
PI,Sussuapara,221093,Coronavac,6.101,3.106,2.994,1,0,0,0
PI,Sussuapara,221093,Astrazeneca,4.091,1.672,1.572,677,154,16,0
PI,Sussuapara,221093,Pfizer,4.043,1.030,795,2.209,4,5,0
PI,Sussuapara,221093,Janssen,813,0,0,688,19,0,106
PI,Sussuapara,221093,-,72,63,9,0,0,0,0
PI,Tamboril Do Piauí,221095,Pfizer,2.745,994,891,859,1,0,0
PI,Tamboril Do Piauí,221095,Astrazeneca,1.739,734,695,310,0,0,0
PI,Tamboril Do Piauí,221095,Coronavac,1.640,865,771,4,0,0,0
PI,Tamboril Do Piauí,221095,Janssen,411,0,0,352,13,0,46
PI,Tamboril Do Piauí,221095,-,43,6,37,0,0,0,0
PI,Tanque Do Piauí,221097,Pfizer,2.766,923,883,867,91,2,0
PI,Tanque Do Piauí,221097,Astrazeneca,1.904,705,701,480,18,0,0
PI,Tanque Do Piauí,221097,Coronavac,1.425,704,719,2,0,0,0
PI,Tanque Do Piauí,221097,Janssen,518,0,0,383,78,0,57
PI,Tanque Do Piauí,221097,-,43,43,0,0,0,0,0
PI,Teresina,221100,Pfizer,867.831,320.772,279.286,238.567,25.652,3.552,2
PI,Teresina,221100,Astrazeneca,567.036,234.366,231.126,95.461,5.573,510,0
PI,Teresina,221100,Coronavac,392.498,211.852,180.052,445,67,82,0
PI,Teresina,221100,Janssen,115.965,0,0,62.397,39.480,417,13.671
PI,Teresina,221100,-,827,607,198,16,6,0,0
PI,União,221110,Pfizer,38.227,14.218,12.115,11.359,531,4,0
PI,União,221110,Astrazeneca,27.480,12.268,10.881,4.096,235,0,0
PI,União,221110,Coronavac,23.893,12.772,11.008,79,33,1,0
PI,União,221110,Janssen,4.944,0,0,3.619,672,0,653
PI,União,221110,-,752,551,197,4,0,0,0
PI,Uruçuí,221120,Pfizer,20.678,7.482,6.776,6.276,139,5,0
PI,Uruçuí,221120,Astrazeneca,14.309,6.206,6.016,1.756,331,0,0
PI,Uruçuí,221120,Coronavac,12.946,6.884,6.045,17,0,0,0
PI,Uruçuí,221120,Janssen,3.270,0,0,2.713,146,1,410
PI,Uruçuí,221120,-,312,229,79,4,0,0,0
PI,Valença Do Piauí,221130,Pfizer,15.887,6.143,4.724,5.020,0,0,0
PI,Valença Do Piauí,221130,Astrazeneca,14.920,7.299,6.714,907,0,0,0
PI,Valença Do Piauí,221130,Coronavac,10.286,5.547,4.739,0,0,0,0
PI,Valença Do Piauí,221130,Janssen,754,0,0,385,0,0,369
PI,Valença Do Piauí,221130,-,1,0,1,0,0,0,0
PI,Várzea Branca,221135,Astrazeneca,4.330,1.934,1.840,548,8,0,0
PI,Várzea Branca,221135,Pfizer,4.309,1.703,1.363,1.232,11,0,0
PI,Várzea Branca,221135,Coronavac,1.880,1.020,860,0,0,0,0
PI,Várzea Branca,221135,Janssen,705,0,0,624,3,4,74
PI,Várzea Branca,221135,-,67,66,1,0,0,0,0
PI,Várzea Grande,221140,Pfizer,3.769,1.335,1.237,1.197,0,0,0
PI,Várzea Grande,221140,Astrazeneca,3.181,1.381,1.272,528,0,0,0
PI,Várzea Grande,221140,Coronavac,1.903,959,941,3,0,0,0
PI,Várzea Grande,221140,Janssen,706,0,0,624,0,0,82
PI,Várzea Grande,221140,-,63,63,0,0,0,0,0
PI,Vera Mendes,221150,Pfizer,3.000,1.121,969,909,0,1,0
PI,Vera Mendes,221150,Astrazeneca,2.753,1.233,1.175,285,60,0,0
PI,Vera Mendes,221150,Coronavac,1.559,802,698,33,26,0,0
PI,Vera Mendes,221150,Janssen,196,0,0,151,9,0,36
PI,Vera Mendes,221150,-,46,29,17,0,0,0,0
PI,Vila Nova Do Piauí,221160,Pfizer,2.515,793,734,900,84,4,0
PI,Vila Nova Do Piauí,221160,Astrazeneca,2.467,1.085,1.070,312,0,0,0
PI,Vila Nova Do Piauí,221160,Coronavac,1.254,634,620,0,0,0,0
PI,Vila Nova Do Piauí,221160,Janssen,510,0,0,325,119,0,66
PI,Vila Nova Do Piauí,221160,-,34,16,18,0,0,0,0
PI,Wall Ferraz,221170,Astrazeneca,3.960,1.586,1.553,817,4,0,0
PI,Wall Ferraz,221170,Pfizer,3.628,1.306,1.249,1.027,0,46,0
PI,Wall Ferraz,221170,Coronavac,1.801,877,924,0,0,0,0
PI,Wall Ferraz,221170,Janssen,662,0,0,596,0,1,65
PI,Wall Ferraz,221170,-,68,65,3,0,0,0,0
PR,Abatiá,410010,Astrazeneca,6.835,2.939,2.878,231,112,675,0
PR,Abatiá,410010,Pfizer,6.434,2.045,1.777,271,308,2.033,0
PR,Abatiá,410010,Coronavac,3.246,1.579,1.667,0,0,0,0
PR,Abatiá,410010,Janssen,1.067,0,0,370,1,510,186
PR,Abatiá,410010,-,257,221,36,0,0,0,0
PR,Adrianópolis,410020,Astrazeneca,5.848,2.636,2.396,390,116,310,0
PR,Adrianópolis,410020,Pfizer,5.072,1.520,1.293,1.805,63,391,0
PR,Adrianópolis,410020,Coronavac,3.039,1.594,1.426,5,1,13,0
PR,Adrianópolis,410020,Janssen,685,0,0,150,204,254,77
PR,Adrianópolis,410020,-,147,107,37,1,0,2,0
PR,Agudos Do Sul,410030,Astrazeneca,8.528,3.931,3.572,933,91,1,0
PR,Agudos Do Sul,410030,Pfizer,7.977,2.937,2.290,2.687,60,3,0
PR,Agudos Do Sul,410030,Coronavac,3.589,1.852,1.735,1,0,1,0
PR,Agudos Do Sul,410030,Janssen,1.438,0,0,708,149,0,581
PR,Agudos Do Sul,410030,-,207,160,46,1,0,0,0
PR,Almirante Tamandaré,410040,Pfizer,103.582,42.440,33.860,25.447,1.507,328,0
PR,Almirante Tamandaré,410040,Astrazeneca,67.213,29.858,27.675,9.017,621,42,0
PR,Almirante Tamandaré,410040,Coronavac,35.622,19.497,16.090,34,0,1,0
PR,Almirante Tamandaré,410040,Janssen,7.200,0,0,2.594,75,274,4.257
PR,Almirante Tamandaré,410040,-,1.955,561,1.371,20,3,0,0
PR,Altamira Do Paraná,410045,Astrazeneca,3.600,1.468,1.381,750,1,0,0
PR,Altamira Do Paraná,410045,Pfizer,2.983,1.225,1.128,620,9,1,0
PR,Altamira Do Paraná,410045,Coronavac,1.388,688,698,2,0,0,0
PR,Altamira Do Paraná,410045,Janssen,1.108,0,0,1.006,66,0,36
PR,Altamira Do Paraná,410045,-,166,149,17,0,0,0,0
PR,Alto Paraíso,412862,Astrazeneca,2.937,1.400,1.221,316,0,0,0
PR,Alto Paraíso,412862,Pfizer,2.331,802,622,891,0,16,0
PR,Alto Paraíso,412862,Coronavac,1.370,734,636,0,0,0,0
PR,Alto Paraíso,412862,Janssen,367,0,0,289,0,3,75
PR,Alto Paraíso,412862,-,132,101,31,0,0,0,0
PR,Alto Paraná,410060,Pfizer,11.633,4.273,3.461,3.700,175,24,0
PR,Alto Paraná,410060,Astrazeneca,10.492,4.696,4.427,1.334,31,4,0
PR,Alto Paraná,410060,Coronavac,5.129,2.647,2.477,4,1,0,0
PR,Alto Paraná,410060,Janssen,1.209,0,0,663,119,1,426
PR,Alto Paraná,410060,-,508,357,148,3,0,0,0
PR,Alto Piquiri,410070,Pfizer,8.632,3.044,2.693,2.740,155,0,0
PR,Alto Piquiri,410070,Astrazeneca,7.013,2.995,2.869,1.064,85,0,0
PR,Alto Piquiri,410070,Coronavac,4.060,2.034,2.025,1,0,0,0
PR,Alto Piquiri,410070,Janssen,1.032,0,0,560,218,0,254
PR,Alto Piquiri,410070,-,195,171,24,0,0,0,0
PR,Altônia,410050,Pfizer,17.614,5.746,5.044,6.163,661,0,0
PR,Altônia,410050,Astrazeneca,15.718,6.775,6.595,2.009,339,0,0
PR,Altônia,410050,Coronavac,7.872,3.987,3.884,1,0,0,0
PR,Altônia,410050,Janssen,1.979,0,0,703,834,0,442
PR,Altônia,410050,-,217,165,52,0,0,0,0
PR,Alvorada Do Sul,410080,Astrazeneca,8.345,3.844,3.709,791,0,1,0
PR,Alvorada Do Sul,410080,Pfizer,8.196,2.654,2.153,3.363,9,17,0
PR,Alvorada Do Sul,410080,Coronavac,3.128,1.574,1.553,1,0,0,0
PR,Alvorada Do Sul,410080,Janssen,1.096,0,0,700,0,118,278
PR,Alvorada Do Sul,410080,-,306,244,62,0,0,0,0
PR,Amaporã,410090,Pfizer,5.205,1.741,1.557,1.885,17,5,0
PR,Amaporã,410090,Astrazeneca,4.487,1.950,1.906,322,309,0,0
PR,Amaporã,410090,Coronavac,1.532,738,794,0,0,0,0
PR,Amaporã,410090,Janssen,504,0,0,264,83,0,157
PR,Amaporã,410090,-,211,159,52,0,0,0,0
PR,Ampére,410100,Pfizer,19.053,7.030,6.354,5.280,73,316,0
PR,Ampére,410100,Astrazeneca,13.589,5.739,5.701,1.803,194,152,0
PR,Ampére,410100,Coronavac,7.252,3.734,3.517,1,0,0,0
PR,Ampére,410100,Janssen,1.762,0,0,1.189,1,100,472
PR,Ampére,410100,-,639,351,288,0,0,0,0
PR,Anahy,410105,Astrazeneca,2.966,1.302,1.266,297,101,0,0
PR,Anahy,410105,Pfizer,2.431,598,557,1.182,93,1,0
PR,Anahy,410105,Coronavac,1.539,764,775,0,0,0,0
PR,Anahy,410105,Janssen,657,0,0,332,140,0,185
PR,Anahy,410105,-,95,71,24,0,0,0,0
PR,Andirá,410110,Pfizer,16.515,5.418,4.440,1.041,43,5.573,0
PR,Andirá,410110,Astrazeneca,15.336,7.168,6.584,6,193,1.385,0
PR,Andirá,410110,Coronavac,8.524,4.476,4.041,4,0,3,0
PR,Andirá,410110,Janssen,2.418,0,0,90,443,1.182,703
PR,Andirá,410110,-,466,251,214,0,0,1,0
PR,Ângulo,410115,Astrazeneca,3.014,1.278,1.245,382,108,1,0
PR,Ângulo,410115,Pfizer,2.686,917,802,861,48,58,0
PR,Ângulo,410115,Coronavac,1.325,646,679,0,0,0,0
PR,Ângulo,410115,Janssen,440,0,0,333,47,1,59
PR,Ângulo,410115,-,106,80,25,0,0,1,0
PR,Antonina,410120,Astrazeneca,20.061,9.369,8.748,1.847,97,0,0
PR,Antonina,410120,Pfizer,15.498,4.571,3.331,7.132,464,0,0
PR,Antonina,410120,Coronavac,6.602,3.390,3.211,1,0,0,0
PR,Antonina,410120,Janssen,2.159,0,0,853,668,0,638
PR,Antonina,410120,-,334,260,74,0,0,0,0
PR,Antônio Olinto,410130,Pfizer,6.539,2.127,2.031,2.222,113,46,0
PR,Antônio Olinto,410130,Astrazeneca,6.471,2.833,2.805,803,30,0,0
PR,Antônio Olinto,410130,Coronavac,3.232,1.579,1.653,0,0,0,0
PR,Antônio Olinto,410130,Janssen,1.199,0,0,955,1,1,242
PR,Antônio Olinto,410130,-,140,133,6,1,0,0,0
PR,Apucarana,410140,Pfizer,129.442,40.372,36.039,45.862,6.748,421,0
PR,Apucarana,410140,Astrazeneca,95.363,44.695,42.211,8.256,197,4,0
PR,Apucarana,410140,Coronavac,52.645,26.790,25.839,16,0,0,0
PR,Apucarana,410140,Janssen,17.008,0,0,8.616,1.436,2,6.954
PR,Apucarana,410140,-,4.196,3.172,1.021,3,0,0,0
PR,Arapongas,410150,Astrazeneca,107.631,52.566,45.996,5.741,3.328,0,0
PR,Arapongas,410150,Pfizer,91.220,28.541,25.399,36.774,270,236,0
PR,Arapongas,410150,Coronavac,44.470,24.597,19.873,0,0,0,0
PR,Arapongas,410150,Janssen,7.859,0,0,2.733,1.647,0,3.479
PR,Arapoti,410160,Pfizer,26.105,9.653,8.344,7.982,107,19,0
PR,Arapoti,410160,Astrazeneca,16.970,7.809,7.582,1.482,97,0,0
PR,Arapoti,410160,Coronavac,9.484,4.849,4.629,6,0,0,0
PR,Arapoti,410160,Janssen,3.079,0,0,1.870,568,21,620
PR,Arapoti,410160,-,603,426,175,2,0,0,0
PR,Arapuã,410165,Pfizer,3.463,1.115,1.037,1.281,26,4,0
PR,Arapuã,410165,Astrazeneca,3.033,1.213,1.190,509,120,1,0
PR,Arapuã,410165,Coronavac,2.020,994,1.026,0,0,0,0
PR,Arapuã,410165,Janssen,379,0,0,321,18,0,40
PR,Arapuã,410165,-,84,75,9,0,0,0,0
PR,Araruna,410170,Pfizer,13.008,4.799,4.259,3.002,207,741,0
PR,Araruna,410170,Astrazeneca,11.111,4.791,4.576,942,399,403,0
PR,Araruna,410170,Coronavac,6.012,3.127,2.881,2,0,2,0
PR,Araruna,410170,Janssen,1.907,0,0,1.250,49,256,352
PR,Araruna,410170,-,308,182,124,2,0,0,0
PR,Araucária,410180,Pfizer,150.779,60.284,52.951,34.204,579,2.761,0
PR,Araucária,410180,Astrazeneca,92.466,37.058,36.629,16.035,2.022,722,0
PR,Araucária,410180,Coronavac,61.252,30.749,30.461,40,1,1,0
PR,Araucária,410180,Janssen,26.272,0,0,16.198,4.310,315,5.449
PR,Araucária,410180,-,3.660,3.561,99,0,0,0,0
PR,Ariranha Do Ivaí,410185,Astrazeneca,2.251,883,862,362,144,0,0
PR,Ariranha Do Ivaí,410185,Pfizer,2.010,636,597,745,32,0,0
PR,Ariranha Do Ivaí,410185,Coronavac,1.483,726,757,0,0,0,0
PR,Ariranha Do Ivaí,410185,Janssen,261,0,0,225,0,0,36
PR,Ariranha Do Ivaí,410185,-,62,55,7,0,0,0,0
PR,Assaí,410190,Pfizer,10.573,4.023,3.052,3.493,5,0,0
PR,Assaí,410190,Astrazeneca,9.836,5.072,4.603,159,2,0,0
PR,Assaí,410190,Coronavac,5.755,2.954,2.800,1,0,0,0
PR,Assaí,410190,Janssen,378,0,0,91,0,2,285
PR,Assaí,410190,-,13,9,4,0,0,0,0
PR,Assis Chateaubriand,410200,Pfizer,32.239,11.993,9.915,10.180,120,31,0
PR,Assis Chateaubriand,410200,Astrazeneca,26.222,11.434,11.109,3.280,395,4,0
PR,Assis Chateaubriand,410200,Coronavac,14.266,7.277,6.867,42,80,0,0
PR,Assis Chateaubriand,410200,Janssen,4.514,0,0,2.413,862,297,942
PR,Assis Chateaubriand,410200,-,882,567,308,2,5,0,0
PR,Astorga,410210,Pfizer,22.301,8.240,7.169,6.751,23,118,0
PR,Astorga,410210,Astrazeneca,17.761,7.659,7.483,1.865,680,74,0
PR,Astorga,410210,Coronavac,10.264,4.955,5.301,7,1,0,0
PR,Astorga,410210,Janssen,4.304,0,0,2.673,686,7,938
PR,Astorga,410210,-,792,768,23,1,0,0,0
PR,Atalaia,410220,Astrazeneca,4.056,1.758,1.750,503,43,2,0
PR,Atalaia,410220,Pfizer,4.013,1.325,1.172,1.440,69,7,0
PR,Atalaia,410220,Coronavac,1.704,853,851,0,0,0,0
PR,Atalaia,410220,Janssen,550,0,0,483,7,0,60
PR,Atalaia,410220,-,117,94,23,0,0,0,0
PR,Balsa Nova,410230,Pfizer,12.883,4.449,3.825,4.501,60,48,0
PR,Balsa Nova,410230,Astrazeneca,9.787,4.493,4.122,1.122,34,16,0
PR,Balsa Nova,410230,Coronavac,6.435,3.260,3.172,3,0,0,0
PR,Balsa Nova,410230,Janssen,1.532,0,0,813,9,294,416
PR,Balsa Nova,410230,-,323,273,50,0,0,0,0
PR,Bandeirantes,410240,Pfizer,31.710,11.004,9.868,10.441,253,144,0
PR,Bandeirantes,410240,Astrazeneca,22.341,9.756,9.596,2.167,821,1,0
PR,Bandeirantes,410240,Coronavac,12.853,6.556,6.296,1,0,0,0
PR,Bandeirantes,410240,Janssen,3.833,0,0,1.989,1.017,7,820
PR,Bandeirantes,410240,-,802,408,385,9,0,0,0
PR,Barbosa Ferraz,410250,Astrazeneca,8.692,4.234,3.963,432,63,0,0
PR,Barbosa Ferraz,410250,Pfizer,7.504,2.710,2.081,2.589,123,1,0
PR,Barbosa Ferraz,410250,Coronavac,4.651,2.374,2.273,1,3,0,0
PR,Barbosa Ferraz,410250,Janssen,908,0,0,700,68,0,140
PR,Barbosa Ferraz,410250,-,178,151,27,0,0,0,0
PR,Barra Do Jacaré,410270,Astrazeneca,3.309,1.444,1.357,348,160,0,0
PR,Barra Do Jacaré,410270,Pfizer,2.118,565,497,961,87,8,0
PR,Barra Do Jacaré,410270,Coronavac,1.392,679,713,0,0,0,0
PR,Barra Do Jacaré,410270,Janssen,647,0,0,374,222,4,47
PR,Barra Do Jacaré,410270,-,101,76,25,0,0,0,0
PR,Barracão,410260,Astrazeneca,9.786,4.501,4.328,913,43,1,0
PR,Barracão,410260,Pfizer,6.802,2.188,1.926,2.606,62,20,0
PR,Barracão,410260,Coronavac,2.731,1.382,1.349,0,0,0,0
PR,Barracão,410260,Janssen,829,0,0,371,71,0,387
PR,Barracão,410260,-,97,62,35,0,0,0,0
PR,Bela Vista Da Caroba,410275,Astrazeneca,3.649,1.595,1.562,436,52,4,0
PR,Bela Vista Da Caroba,410275,Pfizer,2.622,654,611,1.300,23,34,0
PR,Bela Vista Da Caroba,410275,Coronavac,1.545,758,786,1,0,0,0
PR,Bela Vista Da Caroba,410275,Janssen,316,0,0,242,37,2,35
PR,Bela Vista Da Caroba,410275,-,87,62,23,2,0,0,0
PR,Bela Vista Do Paraíso,410280,Pfizer,14.190,4.859,4.316,4.710,290,15,0
PR,Bela Vista Do Paraíso,410280,Astrazeneca,12.997,5.642,5.558,1.745,51,1,0
PR,Bela Vista Do Paraíso,410280,Coronavac,6.318,3.064,3.248,6,0,0,0
PR,Bela Vista Do Paraíso,410280,Janssen,2.143,0,0,1.619,249,1,274
PR,Bela Vista Do Paraíso,410280,-,506,438,68,0,0,0,0
PR,Bituruna,410290,Pfizer,16.841,6.455,5.840,4.392,113,41,0
PR,Bituruna,410290,Astrazeneca,10.766,4.597,4.543,1.415,211,0,0
PR,Bituruna,410290,Coronavac,6.716,3.288,3.413,15,0,0,0
PR,Bituruna,410290,Janssen,2.165,0,0,1.542,253,0,370
PR,Bituruna,410290,-,460,433,27,0,0,0,0
PR,Boa Esperança,410300,Astrazeneca,3.824,1.720,1.631,423,23,27,0
PR,Boa Esperança,410300,Pfizer,3.774,1.219,1.090,1.355,80,30,0
PR,Boa Esperança,410300,Coronavac,2.108,1.058,1.040,10,0,0,0
PR,Boa Esperança,410300,Janssen,694,0,0,535,0,12,147
PR,Boa Esperança,410300,-,132,82,50,0,0,0,0
PR,Boa Esperança Do Iguaçu,410302,Pfizer,2.293,852,762,637,39,3,0
PR,Boa Esperança Do Iguaçu,410302,Astrazeneca,2.060,904,895,239,22,0,0
PR,Boa Esperança Do Iguaçu,410302,Coronavac,1.098,538,560,0,0,0,0
PR,Boa Esperança Do Iguaçu,410302,Janssen,301,0,0,248,22,0,31
PR,Boa Esperança Do Iguaçu,410302,-,102,75,27,0,0,0,0
PR,Boa Ventura De São Roque,410304,Pfizer,5.663,2.102,1.941,1.549,44,27,0
PR,Boa Ventura De São Roque,410304,Astrazeneca,5.162,2.212,2.170,710,70,0,0
PR,Boa Ventura De São Roque,410304,Coronavac,2.386,1.193,1.189,3,1,0,0
PR,Boa Ventura De São Roque,410304,Janssen,1.087,0,0,741,140,0,206
PR,Boa Ventura De São Roque,410304,-,259,154,102,3,0,0,0
PR,Boa Vista Da Aparecida,410305,Pfizer,5.967,2.481,1.665,1.791,9,21,0
PR,Boa Vista Da Aparecida,410305,Astrazeneca,5.631,2.668,2.366,512,85,0,0
PR,Boa Vista Da Aparecida,410305,Coronavac,3.819,2.043,1.776,0,0,0,0
PR,Boa Vista Da Aparecida,410305,Janssen,696,0,52,502,28,0,114
PR,Bocaiúva Do Sul,410310,Pfizer,10.786,4.425,3.782,2.555,0,24,0
PR,Bocaiúva Do Sul,410310,Astrazeneca,9.572,4.191,3.788,1.564,29,0,0
PR,Bocaiúva Do Sul,410310,Coronavac,4.618,2.458,2.149,10,1,0,0
PR,Bocaiúva Do Sul,410310,Janssen,1.284,0,0,829,36,4,415
PR,Bocaiúva Do Sul,410310,-,297,195,100,2,0,0,0
PR,Bom Jesus Do Sul,410315,Astrazeneca,3.724,1.497,1.481,740,0,6,0
PR,Bom Jesus Do Sul,410315,Pfizer,2.386,644,608,1.083,27,24,0
PR,Bom Jesus Do Sul,410315,Coronavac,1.693,820,873,0,0,0,0
PR,Bom Jesus Do Sul,410315,Janssen,384,0,0,335,0,2,47
PR,Bom Jesus Do Sul,410315,-,108,104,4,0,0,0,0
PR,Bom Sucesso,410320,Pfizer,6.367,2.149,1.955,2.114,125,24,0
PR,Bom Sucesso,410320,Astrazeneca,5.576,2.333,2.295,802,145,1,0
PR,Bom Sucesso,410320,Coronavac,2.806,1.403,1.402,0,1,0,0
PR,Bom Sucesso,410320,Janssen,946,0,0,568,176,0,202
PR,Bom Sucesso,410320,-,295,197,96,1,1,0,0
PR,Bom Sucesso Do Sul,410322,Pfizer,3.108,1.070,948,997,87,6,0
PR,Bom Sucesso Do Sul,410322,Astrazeneca,2.839,1.192,1.136,419,92,0,0
PR,Bom Sucesso Do Sul,410322,Coronavac,1.685,858,827,0,0,0,0
PR,Bom Sucesso Do Sul,410322,Janssen,408,0,0,302,63,3,40
PR,Bom Sucesso Do Sul,410322,-,75,54,21,0,0,0,0
PR,Borrazópolis,410330,Pfizer,6.842,2.154,2.005,2.505,173,5,0
PR,Borrazópolis,410330,Astrazeneca,6.376,2.518,2.505,916,437,0,0
PR,Borrazópolis,410330,Coronavac,4.196,2.180,2.016,0,0,0,0
PR,Borrazópolis,410330,Janssen,1.135,0,0,733,213,0,189
PR,Borrazópolis,410330,-,105,20,85,0,0,0,0
PR,Braganey,410335,Pfizer,4.627,1.592,1.283,1.645,76,31,0
PR,Braganey,410335,Astrazeneca,4.475,2.032,1.971,386,72,14,0
PR,Braganey,410335,Coronavac,2.005,1.087,915,3,0,0,0
PR,Braganey,410335,Janssen,763,0,0,385,177,51,150
PR,Braganey,410335,-,155,52,102,1,0,0,0
PR,Brasilândia Do Sul,410337,Pfizer,3.111,1.104,1.024,924,59,0,0
PR,Brasilândia Do Sul,410337,Astrazeneca,2.754,1.180,1.148,402,24,0,0
PR,Brasilândia Do Sul,410337,Coronavac,1.955,948,1.007,0,0,0,0
PR,Brasilândia Do Sul,410337,Janssen,436,0,0,324,17,10,85
PR,Brasilândia Do Sul,410337,-,101,95,5,1,0,0,0
PR,Cafeara,410340,Pfizer,2.604,830,801,940,33,0,0
PR,Cafeara,410340,Astrazeneca,2.352,1.025,1.013,305,9,0,0
PR,Cafeara,410340,Coronavac,1.102,540,560,2,0,0,0
PR,Cafeara,410340,Janssen,388,0,0,251,82,0,55
PR,Cafeara,410340,-,78,57,21,0,0,0,0
PR,Cafelândia,410345,Pfizer,17.757,6.837,5.781,4.696,110,333,0
PR,Cafelândia,410345,Astrazeneca,12.185,5.376,5.198,1.214,286,111,0
PR,Cafelândia,410345,Coronavac,6.953,3.532,3.417,0,1,3,0
PR,Cafelândia,410345,Janssen,3.237,0,0,1.054,301,805,1.077
PR,Cafelândia,410345,-,630,475,154,0,0,1,0
PR,Cafezal Do Sul,410347,Pfizer,3.960,1.390,1.333,971,83,183,0
PR,Cafezal Do Sul,410347,Astrazeneca,3.528,1.428,1.379,494,83,144,0
PR,Cafezal Do Sul,410347,Coronavac,2.253,1.094,1.159,0,0,0,0
PR,Cafezal Do Sul,410347,Janssen,543,0,0,325,12,109,97
PR,Cafezal Do Sul,410347,-,111,107,4,0,0,0,0
PR,Califórnia,410350,Astrazeneca,7.873,3.574,3.358,819,115,7,0
PR,Califórnia,410350,Pfizer,7.237,2.352,1.978,2.774,117,16,0
PR,Califórnia,410350,Coronavac,3.512,1.843,1.669,0,0,0,0
PR,Califórnia,410350,Janssen,852,0,0,528,133,2,189
PR,Califórnia,410350,-,192,77,114,1,0,0,0
PR,Cambará,410360,Pfizer,22.526,7.114,6.245,8.230,843,94,0
PR,Cambará,410360,Astrazeneca,18.559,8.081,7.749,2.729,0,0,0
PR,Cambará,410360,Coronavac,9.679,4.852,4.813,14,0,0,0
PR,Cambará,410360,Janssen,3.672,0,0,1.686,1.100,0,886
PR,Cambará,410360,-,539,509,30,0,0,0,0
PR,Cambé,410370,Pfizer,100.667,36.544,30.365,26.748,1.325,5.685,0
PR,Cambé,410370,Astrazeneca,75.406,32.909,31.166,8.119,789,2.423,0
PR,Cambé,410370,Coronavac,38.284,19.425,18.848,11,0,0,0
PR,Cambé,410370,Janssen,12.742,0,0,5.293,1.922,1.237,4.290
PR,Cambé,410370,-,2.946,2.424,515,4,0,3,0
PR,Cambira,410380,Pfizer,7.920,2.757,2.443,2.604,106,10,0
PR,Cambira,410380,Astrazeneca,6.149,2.647,2.557,783,161,1,0
PR,Cambira,410380,Coronavac,3.915,1.984,1.868,61,1,1,0
PR,Cambira,410380,Janssen,1.146,0,0,482,400,1,263
PR,Cambira,410380,-,238,171,67,0,0,0,0
PR,Campina Da Lagoa,410390,Pfizer,12.454,4.581,3.917,3.817,138,1,0
PR,Campina Da Lagoa,410390,Astrazeneca,12.352,5.378,5.256,1.717,1,0,0
PR,Campina Da Lagoa,410390,Coronavac,7.625,3.923,3.702,0,0,0,0
PR,Campina Da Lagoa,410390,Janssen,1.662,0,0,1.405,5,0,252
PR,Campina Da Lagoa,410390,-,247,234,13,0,0,0,0
PR,Campina Do Simão,410395,Pfizer,3.868,1.400,1.356,1.024,85,3,0
PR,Campina Do Simão,410395,Astrazeneca,3.271,1.528,1.213,462,67,1,0
PR,Campina Do Simão,410395,Coronavac,1.586,848,737,1,0,0,0
PR,Campina Do Simão,410395,Janssen,923,0,0,567,149,0,207
PR,Campina Do Simão,410395,-,64,56,8,0,0,0,0
PR,Campina Grande Do Sul,410400,Pfizer,43.164,16.647,14.126,11.386,283,722,0
PR,Campina Grande Do Sul,410400,Astrazeneca,31.010,13.603,12.873,4.063,249,222,0
PR,Campina Grande Do Sul,410400,Coronavac,22.264,11.569,10.662,30,2,1,0
PR,Campina Grande Do Sul,410400,Janssen,5.855,0,0,3.744,552,55,1.504
PR,Campina Grande Do Sul,410400,-,677,449,208,19,1,0,0
PR,Campo Bonito,410405,Pfizer,3.515,1.279,1.159,1.050,17,10,0
PR,Campo Bonito,410405,Astrazeneca,2.893,1.272,1.227,385,8,1,0
PR,Campo Bonito,410405,Coronavac,1.858,964,894,0,0,0,0
PR,Campo Bonito,410405,Janssen,392,0,0,227,91,0,74
PR,Campo Bonito,410405,-,125,47,78,0,0,0,0
PR,Campo Do Tenente,410410,Pfizer,7.434,2.654,2.181,2.592,7,0,0
PR,Campo Do Tenente,410410,Astrazeneca,5.154,2.485,2.261,408,0,0,0
PR,Campo Do Tenente,410410,Coronavac,3.614,2.010,1.590,14,0,0,0
PR,Campo Do Tenente,410410,Janssen,565,0,0,384,0,4,177
PR,Campo Largo,410420,Pfizer,127.394,45.983,39.357,39.760,1.581,713,0
PR,Campo Largo,410420,Astrazeneca,83.438,36.207,34.777,8.680,3.556,218,0
PR,Campo Largo,410420,Coronavac,47.525,24.197,23.303,19,4,2,0
PR,Campo Largo,410420,Janssen,13.790,0,0,8.276,715,679,4.120
PR,Campo Largo,410420,-,2.799,2.049,747,3,0,0,0
PR,Campo Magro,410425,Pfizer,28.402,10.970,9.247,7.567,292,326,0
PR,Campo Magro,410425,Astrazeneca,18.936,8.218,7.868,2.111,617,122,0
PR,Campo Magro,410425,Coronavac,11.183,5.886,5.289,7,1,0,0
